Sede,Carrera,Plan,Jornada,Nivel,Sigla,Asignatura,Sección,Horario,Docente,ASIGNATURA VIRTUAL SINCRONICA
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,EAY4730,ÉTICA PARA EL TRABAJO,EAY4730-006V,Sa 10:01:00 - 11:20:00,HELENA DEL CARMEN ROJAS,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,EAY4730,ÉTICA PARA EL TRABAJO,EAY4730-005V,Sa 11:31:00 - 12:50:00,RAUL GUSTAVO SAMANIEGO,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,MAT4141,ESTADÍSTICA DESCRIPTIVA,MAT4141-006V,Sa 8:31:00 - 9:50:00,EDUARDO FELIPE PUTZ,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,MAT4141,ESTADÍSTICA DESCRIPTIVA,MAT4141-005V,Sa 10:01:00 - 11:20:00,MIGUEL ALEXIS GASSET,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,MAT4141,ESTADÍSTICA DESCRIPTIVA,MAT4141-005V,Vi 20:31:00 - 21:50:00,MIGUEL ALEXIS GASSET,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,MAT4141,ESTADÍSTICA DESCRIPTIVA,MAT4141-006V,Mi 19:01:00 - 20:20:00,EDUARDO FELIPE PUTZ,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1105,DESARROLLO DE APLICACIONES MÓVILES,DSY1105-005V,Vi 19:01:00 - 20:20:00,JUAN GUILLERMO AZÓCAR,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1105,DESARROLLO DE APLICACIONES MÓVILES,DSY1105-006V,Ju 19:01:00 - 20:20:00,JUAN GUILLERMO AZÓCAR,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1105,DESARROLLO DE APLICACIONES MÓVILES,DSY1105-005V,Mi 20:31:00 - 21:10:00,JUAN GUILLERMO AZÓCAR,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1105,DESARROLLO DE APLICACIONES MÓVILES,DSY1105-005V,Mi 19:01:00 - 20:20:00,JUAN GUILLERMO AZÓCAR,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1105,DESARROLLO DE APLICACIONES MÓVILES,DSY1105-006V,Lu 20:31:00 - 22:30:00,JUAN GUILLERMO AZÓCAR,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1104,DESARROLLO FULLSTACK II,DSY1104-005V,Vi 20:31:00 - 21:10:00,TOMAS IGNACIO OPAZO,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1104,DESARROLLO FULLSTACK II,DSY1104-005V,Vi 19:01:00 - 20:20:00,TOMAS IGNACIO OPAZO,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1104,DESARROLLO FULLSTACK II,DSY1104-004V,Ju 20:31:00 - 21:10:00,OSCAR ANTONIO BADILLA,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1104,DESARROLLO FULLSTACK II,DSY1104-004V,Ju 19:01:00 - 20:20:00,OSCAR ANTONIO BADILLA,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1104,DESARROLLO FULLSTACK II,DSY1104-005V,Mi 20:31:00 - 22:30:00,TOMAS IGNACIO OPAZO,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1104,DESARROLLO FULLSTACK II,DSY1104-004V,Lu 20:31:00 - 21:10:00,OSCAR ANTONIO BADILLA,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,DSY1104,DESARROLLO FULLSTACK II,DSY1104-004V,Lu 19:01:00 - 20:20:00,OSCAR ANTONIO BADILLA,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,BDY1103,TALLER DE BASE DE DATOS,BDY1103-007V,Ma 20:31:00 - 21:50:00,MITCCIO CAMILO MORALES,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,BDY1103,TALLER DE BASE DE DATOS,BDY1103-006V,Ma 19:01:00 - 20:20:00,MITCCIO CAMILO MORALES,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,BDY1103,TALLER DE BASE DE DATOS,BDY1103-007V,Lu 19:01:00 - 20:20:00,MITCCIO CAMILO MORALES,
PLAZA VESPUCIO,INGENIERÍA EN INFORMÁTICA,1446115,Vespertino,4,BDY1103,TALLER DE BASE DE DATOS,BDY1103-006V,Lu 21:11:00 - 22:30:00,MITCCIO CAMILO MORALES,
